1	2.19409965923987e-07
501	7.00050705731846e-07
1001	1.57703890651464e-06
1501	1.20237484834623e-06
2001	3.63817125302739e-07
2501	1.14401020393707e-06
3001	1.4281477653468e-06
3501	6.6890924481675e-07
4001	1.58795029338449e-06
4501	7.12175652370788e-07
5001	1.96194932096172e-06
5501	1.09858729534782e-06
6001	1.20737258941866e-06
6501	6.91395618650131e-07
7001	1.54941763856914e-06
7501	1.57880253354087e-07
8001	9.693739487743e-07
8501	1.37726187437773e-06
9001	1.90127619057428e-06
9501	9.13138317996636e-07
10001	6.59514840389602e-07
10501	1.94208065383602e-06
11001	1.77583725523204e-06
11501	1.28316059109289e-06
12001	1.02769279236905e-06
12501	7.32520920420066e-07
13001	1.15154829513282e-06
13501	1.62608008866198e-06
14001	3.27042011162266e-07
14501	5.80088220559992e-07
15001	8.74526902837679e-07
15501	3.61775657841936e-07
16001	9.88211521320045e-07
16501	1.63955991190393e-06
17001	2.3576852732338e-07
17501	1.87012672477402e-06
18001	1.04606464692857e-06
18501	5.53362315893173e-07
19001	1.45040895038284e-06
19501	1.56998983893544e-06
20001	9.69395128712058e-07
20501	4.58688258272596e-07
21001	1.53451588328928e-06
21501	8.74340255414136e-07
22001	1.26439594395459e-06
22501	1.14477660530712e-06
23001	2.03793645100668e-07
