1	1.13668245488312e-05
501	1.18185016050469e-05
1001	1.35977126038633e-06
1501	1.88560568988323e-06
2001	1.69531017022207e-05
2501	8.42318694163114e-06
3001	1.33493045575917e-05
3501	1.33243871857878e-05
4001	3.23657370163128e-06
4501	1.06142224731855e-05
5001	3.25977452713996e-06
5501	1.70437580593862e-05
6001	1.72334131926764e-05
6501	1.2110933655221e-05
7001	1.52484432054684e-05
7501	4.78054452431388e-06
8001	1.22782034035772e-06
8501	9.75099252955988e-06
9001	6.82214794461615e-06
9501	1.0764965123916e-05
10001	8.01730707800016e-07
10501	1.74754976131022e-05
11001	1.46955628718249e-05
11501	1.97861276503652e-05
12001	6.02697832006961e-06
12501	1.04663912283257e-05
13001	2.39013548614457e-07
13501	1.24832769287284e-05
14001	3.81921435338445e-06
14501	1.64533809885383e-05
15001	1.12776988470461e-05
15501	1.26498214366846e-05
16001	3.41893572253175e-06
16501	1.47500058198348e-06
17001	1.90088581550401e-05
17501	1.68870313697495e-05
18001	9.37468761699274e-06
18501	1.96340176136699e-05
19001	1.28228857816197e-05
19501	2.00360195692629e-06
20001	1.71031009368133e-05
20501	1.59106816941872e-05
21001	1.31056403617375e-05
21501	1.92879354483914e-05
22001	1.78465437761974e-05
22501	2.25824559223838e-06
23001	1.06319770955015e-05
